Nodes,BFS (s),DFS (s),UCS (s)
100,8.058547973632812e-05,4.8160552978515625e-05,0.00020170211791992188
500,0.003930807113647461,0.0010824203491210938,0.0070722103118896484
1000,0.02929401397705078,0.003594636917114258,0.03090214729309082
